Cscores,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0
0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
